term,definition,POS,notes
abidjanais,"From, of, or relating to Abidjan; Abidjanese",adj,
Abidjanais,"Somebody from Abidjan, an Abidjanese",m,
Abidjanaise,feminine noun of Abidjanais,f,
abies,A fir tree,m,archaic] 
abiétacée,A member of the Pinaceae plant family,f,"botany, historical] "
abiétacées,the Pinaceae plant family,fp,botany] 
abiéticole,abieticolous,adj,biology] 
abiétin,Related or similar to fir trees,adj,"very, rare] "
abiétiné,That resembles fir trees,adj,
abigeat,alternative form of abigéat,m,"legal, archaic] "
abigéat,abigeat,m,"legal, historical] "
abime,alternative form of abîme,m,
abîme,"abyss, chasm",m,traditional spelling] 
abîme,bottom of a chasm or valley,m,traditional spelling] 
abîme,infiniteness of thought,m,"traditional spelling, literary] "
abîme,superlative used with various abstraction and qualities; the climax or acme,m,"traditional spelling, literary] "
abîme,hell,m,"traditional spelling, literary] "
abîme,"abyss of a shield, fess point",m,"traditional spelling, heraldry] "
abimer,alternative form of abîmer,v,
abîmer,to damage,v,
abîmer,"To fall down or sink and disappear in a hole, depth, abyss",vp,formal] 
abîmer,"To become absorbed in something (thought, action...)",vp,formal] 
abîmer,"To throw down in a hole, depth etc",v,rare or archaic] 
abiogenèse,abiogenesis,f,biology] 
abiotique,abiotic,adj,ecology] 
abiotiquement,abiotically,adv,
abisser,"To damage, destroy",v,
abisser,To overthrow,v,
Abitibi,Abitibi,prop,
abitibien,"From, or related to the Abitibi region of Quebec; Abitibian",adj,
Abitibien,Someone from Abitibi; an Abitibian,m,
Abitibienne,feminine noun of Abitibien,f,
abjadique,abjadic,adj,
abject,Worthy of utmost contempt or disgust; vile; despicable,adj,literary] 
abject,Of the lowest social position,adj,"literary, obsolete] "
abjectement,in manner worthy of absolute contempt or disgust,adv,literary] 
abjection,something that is worthy of utter contempt,f,literary] 
abjurateur,alternative form of abjuratoire,adj,formal] 
abjurateur,Someone who has committed abjuration,m,formal] 
abjuration,The action of abjurer,f,formal] 
abjuratoire,Related to the action of abjurer,adj,formal or legal] 
abjurer,To renounce or abandon solemnly; to abjure,vit,"very, formal] "
abjurer,To formally renounce one's religious belief; to apostatise,vit,religion] 
abjurer,To reject by oath someone's authority,v,obsolete] 
abkhaze,"Related or belonging to the Abkhaz ethnic group, or their language",adj,
abkhaze,"Related to or from Abkhazia, regardless of ethnicity",adj,
abkhaze,The Abkhaz language,m,
Abkhaze,An ethnic Abkhaz person,mf,
Abkhaze,Someone from Abkhazia regardless of ethnicity,mf,
Abkhazie,Abkhazia,prop} {f,
abkhazien,Related to or from Abkhazia,adj,
Abkhazien,A person from Abkhazia regardless of ethnicity,m,
Abkhazienne,feminine noun of Abkhazien,f,
ablactation,"Interruption in secretion of breast milk, usually caused by a hormonal imbalance",f,medicine] 
ablactation,The weaning of a child,f,"medicine, archaic] "
ablastine,ablastin,f,immunology] 
ablatable,ablatable,adj,
ablater,To perform ablation of; to ablate,vt,"medicine, rare] "
ablater,To progressively remove (usually in small amounts) due to an ablation process,v,engineering] 
ablatif,Related to or causing ablation,adj,
ablatif,Conceived to resist a process of ablation,adj,"engineering, sciences] "
ablatif,Related to or in the ablative case,adj,"linguistics, rare] "
ablatif,The ablative case,m,"linguistics, uncountable] "
ablatif,A word or expression in the ablative case,m,"linguistics, countable] "
ablation,The often forceful removal (physical or otherwise) or abolition of something,f,
ablation,ablation,f,medicine] 
ablation,ablation,f,sciences] 
-able,-able,suffix,
able,a vernacular name of the common bleak (usually called ablette),m,
able,"a vernacular name of the sunbleak or moderlieschen, also called able de Heckel",m,
able,a vernacular name of any of some other related fishes in the genus Alburnus (Cyprinidae),m,rare] 
ablégat,ablegate,m,Roman Catholicism] 
abléphare,A skink of the genus Ablepharus,m,zoology] 
ablépharie,ablepharia,f,medicine] 
ableret,a square lift net attached to the end of a perch and used for fishing bleaks ad similar small fishes,m,fishing] 
ablette,(common) bleak (Alburnus alburnus),f,
ablier,synonym of ableret,m,fishing] 
abluer,To wash,v,obsolete] 
ablution,Ritual rinsing of the priest's hand; ablution,f,Western Christianity] 
ablution,"A washing, especially ritual",f,rare] 
ablutionner,"To ablute, wash",v,
ablutions,"the washing of the body, particularly a ritual one; an ablution",fp,
abnégation,"selflessness, self-sacrifice",f,
abnégation,"denial, abnegation",f,
abnégué,abnegated,adj,
abnéguer,To abnegate,v,
aboi,The bark of a dog,m,archaic] 
aboiement,bark (sound made by a dog),m,
abois,"The last stage of coursing where the dogs are closing in on the game, and their cries at that time",mp,hunting] 
aboiteau,A dike built for land reclamation,m,"Canada, Acadia] "
aboiteau,"The sluice in a dike that allows water out at low tide, but blocks its entry at high tide",m,"Canada, Acadia] "
aboler,alternative form of abolir,v,
abolir,to abolish,vt,
abolissable,abolishable,adj,
abolissement,"An abolition, abolishment, abrogation",m,obsolete] 
abolitif,Abolishing; involving the abolition of something,adj,"legal, uncommon] "
abolition,abolition,f,
abolitioniste,alternative form of abolitionniste,adj,
abolitioniste,alternative form of abolitionniste,mf,
abolitionnisme,abolitionism,m,
abolitionniste,abolitionist,adj,historical] 
abolitionniste,abolitionist,mf,historical] 
aboméen,From or having to do with the Beninese city of Abomey,adj,
Aboméen,"A person from Abomey; Abomean, Abomeyan",m,
Aboméenne,feminine noun of Aboméen,f,
Abomey,Abomey (capital city),prop,
Abomey,"Abomey (former name of Benin, a <<country>> in <<r/West Africa>>)",prop,dated] 
abomiffreux,abominable and repulsive,adj,
abominable,Absolutely loathsome; abominable,adj,
abominable,Exceedingly bad or ugly; abominable,adj,
abominablement,Unbearably; insufferably,adv,
abominablement,Exceedingly badly or poorly,adv,
abominablement,Abominably,adv,rare] 
abomination,Something vile and abominable; an abomination,f,
abomination,"Revulsion, abomination, disgust",f,chiefly religion] 
abominer,"To hold in abomination; to detest, abhor, execrate",v,literary] 
abondamment,"abundantly, copiously",adv,
abondance,A large amount; a plethora or profusion,f,
abondance,"Wealth of goods, abundance; opulence, prosperity",f,
abondance,abundance,f,sciences] 
abondant,abundant,adj,
abondantissime,Very or most abundant,adj,
abondement,"Additional financing provided by a second party to funds amassed by a first party, such as by an employer to a retirement fund",m,"Europe, finance] "
abonder,to be found in large amounts; to abound,v,
abonder,"to abound; to teem; to be swarming or overflowing with [object marked with en, rarely de]",vt,
abonder,to contribute financing to,vt,"Europe, finance] "
abonné,Regularly affected by; plagued or dogged with,adj,
abonné,subscriber,m,
abonné,A household for the purpose of utility delivery,m,masculine only] 
abonné,season ticket holder,m,
abonnée,feminine noun of abonné,f,
abonnement,subscription,m,
abonner,To subscribe somebody to a service; to take a subscription for,v,ditransitive] 
abonner,To subscribe to a service or publication,vr,
abonner,To become accustomed to or a regular of,v,rare] 
abonnir,to improve; to render or become better,vt,"absolutive or reflexive, usually, inanimate, strongly dated] "
abonnissement,Improvement or amelioration of the soil or of wine,m,"rare, agriculture] "
abord,"The manner with which one acts in the presence of another person or persons, especially in a first encounter",m,literary] 
abord,The surroundings of a place,m,rare] 
abord,Arrival or accessibility by water,m,archaic] 
abordable,Not overly costly; affordable,adj,
abordable,approachable,adj,
abordable,accessible,adj,uncommon] 
abordable,Said of a boat that is easy to attack,adj,"archaic, nautical] "
abordage,The assault on a ship,m,
abordage,"collision, allision",m,nautical] 
aborder,"To deal with; to tackle; to approach a problem, situation or topic",vt,
aborder,To approach or meet somebody,vt,
aborder,To place side to side,vt,of vehicles] 
aborder,"To reach, especially with a boat",vt,chiefly nautical] 
aborder,"To attack, especially a boat",vt,"originally, nautical, literary, rare] "
abordeur,Placing itself side to side to another vehicle,adj,rare] 
abordeur,Performing an attack on a boat,adj,"nautical, chiefly historical] "
abords,the surroundings,mp,
aborigène,Of or relating to Indigenous Australians,adj,
aborigène,"aboriginal, indigenous",adj,dated] 
aborigène,A generally primitive native from the land,mf,"very, dated] "
Aborigène,An Indigenous Australian,mf,
abornement,Determination of the precise limits of a piece of land or a border,m,"chiefly France, legal] "
aborner,to constitute the limit or boundary of,v,"literary, rare, inanimate] "
aborner,to add boundary stones or marks to,v,"historical, animate] "
abortif,Abortive; unavailing; futile,adj,
abortif,Capable of causing abortion when absorbed,adj,medicine] 
abortif,"Abortive, fruitless; sterile",adj,botany] 
abortif,An abortifacient,m,medicine] 
abot,a horse hobble,m,agriculture] 
aboteau,A levee or dam used in the draining of marshes,m,"France, dialectal, chiefly historical] "
aboteau,alternative form of aboiteau,m,"Canada, rare] "
Abou,surname,prop,
Abou,given name,prop,
abouchement,The act of aboucher,m,archaic] 
aboucher,to put or get in contact or communication,v,archaic] 
aboucher,to touch via an opening,v,archaic] 
aboucher,to put the mouth close to,vp,obsolete] 
aboucher,to talk with,v,obsolete] 
aboudabien,Abu Dhabian (of or from Abu Dhabi),adj,
aboudhabien,Abu Dhabian (of or from Abu Dhabi),adj,
abougri,synonym of trapu,adj,
Aboukir,"Aboukir, a village and bay in Egypt site of two iconic battles of the French military",prop,
abouler,to roll along a surface,vi,dialectal] 
abouler,to rush or hurry over,vip,"Europe, dated slang] "
abouler,to hand over or give money or goods; to pay,vt,"Europe, slang] "
aboulie,aboulia,m,medicine] 
aboulique,Related to or affected by aboulia; aboulic,adj,medicine] 
aboulique,A person affected by aboulia,mf,medicine] 
about,The extremity of a metallic or wooden element or piece,m,technical] 
aboutement,"abutment, jointing",m,
abouter,"to join, link, attach or tie together by their extremities",v,
abouter,to align end-to-end; to abut,v,
aboutir,"to lead to, to end up in, to reach",vt,"literally, with à] "
aboutir,"to lead to, to have the consequence of",vt,"figuratively, with à] "
aboutir,"to reach a conclusion, to succeed",vi,
aboutir,to touch by one end,vi,
aboutissant,outcome,m,
aboutissement,The end or conclusion of a process,m,
aboutissement,"A result or outcome, usually a positive one",m,
aboyant,barking,adj,
aboyer,to bark,vi,of a dog] 
aboyer,to scream at or inveigh against somebody,vi,
aboyer,to scream or yell in short bouts; to bark,vt,"usually, pejorative] "
aboyeur,Which barks or makes a sound like barking,adj,uncommon] 
aboyeur,Someone whose job or involves crying out at people,m,slightly dated] 
aboyeur,"Someone who yells a lot at someone else, who heckles, or criticize violently in speech or writing",m,literary] 
abracadabra,abracadabra,interj,
abracadabra,An unspecified magical formula,m,
abracadabra,A mystical word from kabbalism,m,historical] 
abracadabrant,"ludicrous, preposterous",adj,
abracadabrantesque,Totally ludicrous,adj,
abracadabrantesquement,Totally ludicrously,adv,
abracadabresque,alternative form of abracadabrantesque,adj,
abrachiocéphale,"abrachiocephalic, abrachiocephalous",adj,pathology] 
Abraham,Abraham,prop} {m,Biblical character] 
Abraham,given name,prop} {m,
abrahamique,Abrahamitic (relating to the patriarch Abraham),adj,
abrahamiste,Abrahamitic,adj,
abraser,to abrade,vt,technical] 
abrasif,Able to abrade a surface when scrubbed against it; abrasive,adj,
abrasif,A usually granular abrasive substance used to polish or clean a surface,m,
abrasimètre,A device for measuring abrasion,m,manufacturing] 
abrasin,One of two species of East Asian trees in the genus Vernicia (Euphorbiaceae) who produce an oil used to make varnishes and paints,m,
abrasion,abrasion,f,
abrasivité,"abrasiveness, abrasivity",f,
abraxas,abraxas,m,"gnosticism, historical] "
abréactif,Having to do with abreaction; abreactive,adj,psychoanalysis] 
abréaction,abreaction,f,psychoanalysis] 
abréagir,To undergo abreaction; to abreact,vit,psychoanalysis] 
abrégé,A summarized synopsis or précis of a longer work,m,
abrégé,A small book or written work summarizing the major points of a general topic,m,
abrégement,"shortening, abridgement",m,
abrégément,abridgedly,adv,
abrègement,alternative form of abrégement,m,
abréger,to shorten in duration,v,
abréger,"to shorten (in textual length) or summarize, to abridge",v,
abréger,to abbreviate,v,
abreuvage,alternative form of abreuvement,m,archaic] 
abreuvement,Action of abreuver,m,uncommon] 
abreuver,"to water (cattle, fields etc.), give water to (a person)",v,literary] 
abreuver,to drink,vp,literary] 
abreuver,to shower (someone) in,v,"de, .figuratively] "
abreuvoir,a watering hole or place for animals,m,
abreuvoir,a drinking fountain,m,"Canada, proscribed] "
abréviateur,abbreviator; one who shortens,m,
abréviatif,abbreviative,adj,
abréviatif,Making use of or relating to abbreviations,adj,
abréviation,abbreviation (shortened or contracted form of a word or phrase),f,
abréviativement,abbreviatively,adv,
abréviativement,abbreviatedly,adv,
abrévier,To abbreviate,v,archaic] 
abri,a shelter or refuge against the elements or physical danger,m,
abribus,bus shelter,m,
abricot,apricot (fruit),m,
abricot,apricot (color),m,
abricot,"vulva, vagina, female genitalia",m,colloquial] 
abricot,apricot (color),adj,
abricoté,sugared apricot,m,
abricoté,Similar or relating to apricots,adj,
abricoté,Including apricots as an ingredient,adj,cooking] 
abricoter,to glaze (a cake etc) with a thin layer of apricot preserve dissolved in water,vt,
abricotier,apricot tree,m,
abricotine,A Swiss brandy made from apricots,f,
abrier,to cover with a bedcover; to tuck in,v,dialectal] 
abrier,alternative form of abriter,v,archaic or dialectal] 
abrine,abrin,f,
abri-sous-roche,rock shelter,m,
abriter,"to shelter, to harbour",v,
abriter,to take cover; to shelter,vri,s'abriter] 
abrivent,windbreak,m,agriculture] 
abrogateur,abrogative,adj,
abrogateur,abrogator,m,
abrogatif,abrogative,adj,
abrogation,abrogation,f,
abrogatoire,alternative form of abrogatif,adj,
abrogeable,repealable; rescindable,adj,chiefly legal] 
abroger,"to rescind, to repeal, to annul",v,
abroutir,To eat the young shoots of or off,vt,"agriculture, obsolete] "
abrupt,"Extremely steep, near vertical",adj,
abrupt,Curt and abrupt,adj,
abrupt,Done or said forwardly and without caution to avoid shocking,adj,
abruptement,abruptly,adv,
abrute,abrupt,adj,botany] 
abruti,Whose physical or mental capacities have been impaired by tiredness or another factor; dazed,adj,
abruti,"Moronic, idiotic",adj,"chiefly Europe, colloquial] "
abruti,"Moron, idiot, fool",m,"chiefly Europe, colloquial] "
abrutie,feminine noun of abruti,f,
abrutir,To render idiotic; to turn into idiots,vt,
abrutir,To blunt or deaden the mind,vit,
abrutir,"To overwhelm, to devastate",vt,
abrutir,To return to a brutish or bestial state,v,literary] 
abrutissant,exhausting,adj,formal] 
abrutissant,mind-numbing,adj,formal] 
abrutissement,the process or action of rendering stupid and idiotic,m,
abrutissime,"Very, or most stupid",adj,
abruzzais,From or related to the Abruzzo region,adj,
Abruzzais,A person from the Abruzzo,m,
Abruzzaise,feminine noun of Abruzzais,f,
Abruzzes,Abruzzes (region),prop} {fp,plurale tantum] 
Abruzzes,A mountain chain in the Apennines,prop} {fp,plurale tantum] 
ABS,initialism of système de freinage antiblocage,m,automotive] 
Absalom,Absalom [biblical character],prop,
Absalon,Absalom,prop,
absalonien,Having opulent hair,adj,literary] 
abscisse,The x coordinate in Cartesian coordinates; abscissa,f,mathematics] 
