term,definition,POS,notes
Aalräucherei,"eel smokehouse, eel smokery",f,
Aalraupe,burbot (Lota lota),f,
Aalreuse,"eel basket, eelpot, eel trap",f,
Aalschwanz,tail of an eel,m,
Aalspeer,eelspear,m,
Aalstechen,eel spearing,n,
Aalstrich,dorsal stripe,m,zoology] 
Aalsuppe,eel soup,f,
Aaltierchen,eelworm,n,zoology] 
Aam,aam (measure of liquids),f,
a.a.O.,initialism of am angeführten/angegebenen Orte an abbreviation when a source is cited multiple times,phrase,sometimes proscribed] 
Aar,eagle,m,"poetic, formal or dated] "
Aare,Aare (river),prop} {f,
Aargau,Aargau,prop} {m,
aargauisch,Of or from Aargau,adj,
Aarmühle,"former name of Interlaken, Switzerland",prop} {f,
Aaron,Aaron (biblical figure),prop} {m,
Aaron,given name,prop} {m,
Aas,carrion,n,
Aas,bait,n,
Aas,"beast, devil",n,
Aas,"sod, bugger",n,slang] 
Aasblume,carrion flower,f,botany] 
aasen,to feed on carrion,v,
aasen,"to waste or spoil something, to make a mess of (something)",v,
Aaser,"gamebag, hunting bag",m,"hunting, Southern Germany] "
Aaser,a meal eaten in the nature; picnic,m,"hunting, Switzerland] "
Aasfliege,"blowfly, an insect of the family Calliphoridae",f,
Aasfliege,a flesh-fly (Sarcophaga carnaria),f,
Aasfliege,A person with a habit of exploiting other people,f,uncommon] 
aasfräßig,alternative form of aasfressig,adj,
aasfressend,scavenging; carrion-eating,adj,
Aasfresser,scavenger (an animal that feeds on carrion),m,
aasfressig,synonym of aasfressend,adj,
Aasgeier,vulture (especially the Egyptian vulture or the griffon vulture),m,
Aasgeruch,carrion smell,m,
aasig,putrid,adj,
aasig,disgusting,adj,
aasig,very,adv,
Aasinsekt,carrion insect,n,
Aasjäger,pothunter,m,hunting] 
Aasjägerei,pothunting,f,hunting] 
Aaskäfer,carrion beetle,m,
Aaskrähe,carrion crow,f,
Aaß,obsolete spelling of Aas,n,
Aasseite,flesh side,f,tannery] 
Aasvogel,bird feeding on carrion,m,
Aasvogel,"vulture, a person who profits from the suffering of others",m,figuratively] 
Aa-Wurst,human feces with the approximate shape of a sausage,f,childish] 
Aayden,"given name, form of Aidan",prop,
ab-,"Separable verb prefix that indicates removal or quitting, off, away",prefix,
ab-,"Separable verb prefix that indicates a downward movement, down",prefix,
ab-,Separable verb prefix that indicates from or of,prefix,
ab-,Noun prefix that indicates deviation or being different from the source,prefix,
ab,Beginning at that time or location; from,prep,
ab,off; not attached to anything anymore,adj,"colloquial, predicative] "
ab,off; not attached to anything anymore,adj,"nonstandard, attributive] "
AB,abbreviation of Anrufbeantworter,m,
AB,abbreviation of Altbau,m,apartment listing] 
Aba,aba,f,clothing] 
abaissiert,abaissé,adj,heraldry] 
Abaka,abaca (plant),m,
abakteriell,abacterial,adj,
Abakus,"abacus (table with balls on wires or counters in groves, for counting)",m,
Abakus,abacus (uppermost part of a column),m,architecture] 
Abalienation,"abalienation, alienation, estrangement",f,
Abalienation,"disposal, sale",f,
abalienieren,"to divest (oneself) (of something), to dispose of something, to alienate (for example) property",v,dated] 
abalienieren,"to alienate (a person, etc)",v,dated] 
Abalone,abalone (edible univalve mollusc),f,
abänderbar,alterable,adj,
abänderlich,"changeable, amendable, modifiable, variable",adj,
abändern,"to change, to alter",vt,
abändern,"to revise, modify",vt,
abändern,to amend,vt,
abändern,to commute,vt,
abändern,to decline,vt,grammar] 
Abänderung,"alteration, change",f,
Abänderung,"modification, revision",f,
Abänderung,amendment,f,
Abänderung,commutation,f,
Abänderungsantrag,amendment,m,politics] 
Abänderungsklage,petition to modify a judgement,f,law] 
Abänderungsvorschlag,proposal for modification,m,
Abandon,abandonment,m,legal] 
abandonnieren,to abandon,v,rare] 
abandonnieren,to abandon ship,v,
ABAP,acronym of allgemeiner Berichts-Aufbereitungs-Prozessor,prop,computing] 
abarbeiten,"to work off (a debt, the items on a to-do list, etc); to resolve or take care of something by working",v,
abarbeiten,"to work hard, to slave away",v,
Abart,"subspecies, subkind, subvariety; a kind which deviates from a standard or a convention or a norm",f,
Abart,degenerate or deviation,f,
abarten,"to deviate, to degenerate",vi,dated] 
abartig,"deviant, abnormal",adj,
abartig,sexually deviant,adj,
Abartigkeit,"deviance, abnormality",f,
Abartigkeit,sexual deviance,f,
Abartung,A deviation or degeneration from something's normal state,f,
Abartung,A variety or particular variation,f,
Abartung,The occurrence of mutations in a plant or animal species,f,biology] 
abäschern,to rub off with ash,vt,
abäschern,to work to exhaustion,vr,
Abasie,abasia (incapacity to walk),f,
Abate,abbot,m,religion] 
abatisch,abasic,adj,
Abaton,abaton,n,
abätzen,to clean or remove with etchants,v,
abaxial,abaxial,adj,
Abbaggerung,removal or excavation with the help of an excavator,f,
Abbaggerung,destruction or demolition with the help of an excavator,f,
abballern,to shoot dead,vt,colloquial] 
Abbau,"dismantling, demolition",m,
Abbau,mining,m,
Abbau,"decomposition, separation, analysis",m,
abbaubar,degradable,adj,
abbaubar,demountable (disk etc),adj,
Abbaubarkeit,degradability,f,
abbauen,to dismantle,v,
abbauen,to mine,v,mining] 
abbauen,to reduce,v,
abbauen,to degrade,v,
Abbauerscheinung,degenerative change,f,
Abbaugerechtigkeit,mining rights,f,"law, mining] "
Abbaumethode,mining method,f,
Abbauort,mining site,m,
Abbauprodukt,product of the decomposition of a long-chain molecule,n,"chemistry, biology] "
Abbauprozess,degradation process,m,"biology, chemistry] "
abbauwürdig,"exploitable, workable",adj,of a mine] 
Abbé,abbé,m,
Abbeförderung,"dispatching, removal",f,
Abbeförderung,euphemism for killing,f,
abbehalten,to keep off,vt,clothing] 
abbeissen,alternative spelling of abbeißen,v,
abbeißen,to bite off,v,
abbeißen,to snap off,v,
abbeißen,"(with von) to pursue, to strive after, to strive to",vr,
Abbeizmittel,"paint remover, paint stripper",n,
abbekommen,to get a share of something (pleasant or unpleasant),v,
abberufen,to withdraw,vt,
abberufen,to recall,vt,
Abberufung,"dismissal, revocation",f,
abbestellen,to cancel a subscription,v,
abbestellen,in a more general sense: to cancel any kind of delivery of a thing or summons of a person you have ordered,v,
Abbestellung,cancellation,f,
abbezahlen,to pay off,v,
Abbezahlung,repayment,f,
abbiegen,to bend,vt,
abbiegen,to fold (metal),vt,technical] 
abbiegen,"to head off, to stave off",vt,figurative] 
abbiegen,"to turn, to turn off",vi,
abbiegen,to branch off,vi,
Abbiegespur,"filter lane, turning lane",f,
Abbiegung,bend,f,
Abbild,"image, reflection",n,
Abbild,"image, picture, portrayal",n,
abbildbar,imageable,adj,
abbilden,"To portray, to depict, to picture",v,
abbilden,"To map, to outline",v,
Abbildung,"depiction, image, figure, picture, illustration",f,
Abbildung,mapping,f,
Abbildungsfehler,"aberration, image defect",m,optics] 
Abbildungsmaßstab,image scale,m,photography] 
Abbildungstechnik,synonym of Abbildungstechnologie,f,
Abbildungstechnologie,(digital) imaging technology,f,
Abbindebeschleuniger,accelerant (construction material),m,
abbinden,"to untie, undo",vt,
abbinden,to lace,vt,
abbinden,to ligate,vt,medicine] 
abbinden,to bind,vi,
abbinden,to set,vi,"tech, constr] "
Abbitte,"apology, request to be forgiven",f,
abbitten,to ask for pardon for,v,
abblasen,"to call off (performance, party)",vt,
Abblaseventil,relief valve,n,
abblättern,"to chip off, to peel off, to flake off",vi,
abblätternd,"flaking, peeling off, shedding",adj,
abbleiben,to be located [in an unknown place],v,
abblenden,to dim,vt,
Abblendlicht,"anti-dazzle light, low beam, dimmed light",n,
abblitzen,to misfire,v,"archaic, firearm] "
abblitzen,to rebuff,v,"by extension, colloquial] "
abblocken,to block,v,sports] 
Abbrand,burnup,m,
Abbrand,combustion,m,
abbrechen,To break off (remove by breaking),v,
abbrechen,"To terminate, cancel (end incompletely)",v,
abbrechen,To discard (throw away),v,
abbrechen,To pull down (demolish),v,
Abbrecher,dropout,m,
Abbrecher,"demolition company, demolition worker",m,
Abbrecherquote,dropout rate,f,
abbremsen,"to slow down, decelerate",vi,
Abbremsen,"() braking, deceleration",n,
abbrennen,to burn down,v,
abbrennend,"burnt, scorched",adj,
abbrennend,burnt away,adj,
Abbreviation,abbreviation,f,
Abbreviatur,abbreviation,f,
abbringen,"to dissuade, discourage, put/throw off course",vt,chiefly in phrases] 
abbröckeln,To crumble away,v,
abbröckeln,To flake off,v,
Abbruch,demolition,m,
Abbruch,"termination, discontinuation",m,
Abbruch,abort,m,computing or military] 
Abbrucharbeiter,demolition worker,m,
Abbruchbirne,wrecking ball,f,
Abbruchfirma,demolition company,f,
Abbruchgenehmigung,demolition permit,f,
Abbruchhaus,condemned building,n,
abbruchreif,ramshackle,adj,
Abbruchunternehmen,demolition company,n,
abbuchen,to debit,v,
Abbuchung,"debit, direct debit, debiting",f,procedure] 
Abbuchung,debit amount,f,"sum, amount] "
abbügeln,"to brush off (To disregard something, to dismiss or ignore someone.)",vt,idiom] 
Abc,alternative form of ABC,n,
ABC,"ABC, alphabet",n,
ABC,NBC. initialism of atomare biologische und chemische,adj,weapons] 
Abc-Buch,primer (book),n,
Abchase,Abkhaz,m,
Abchasien,Abchasien (region/and/country),prop} {n,
abchasisch,Abkhaz (of or pertaining to Abkhazia),adj,
Abchasisch,Abkhaz (a Northwest Caucasian language spoken in Abkhazia),prop} {n,
abchecken,to check out,v,
Abc-Schütze,alternative form of ABC-Schütze,m,
ABC-Schütze,first-year pupil; child who has just started school; abecedarian (male or of unspecified sex),m,"colloquial, dated in some regions] "
ABC-Waffen,NBC weapons,fp,
ABC-Waffen-frei,NBC-weapons-free,adj,
Abdach,canopy,n,Northern Germany] 
abdachen,to slope down,vr,
abdachen,to remove the roof of,vt,"often, impersonal] "
Abdampf,"exhaust steam, waste steam",m,
abdampfen,to evaporate off,v,
abdampfen,"[of steam-powered vehicles] to depart, steam off",v,
Abdampfen,"evaporation, vaporization",n,
abdämpfen,to dampen,v,
abdämpfen,"to mute, especially kettledrums",v,music] 
Abdampfentöler,exhaust-steam oil separator,m,
Abdampfrate,rate of evaporation,f,
Abdampfschale,evaporating dish,f,
Abdampfturbine,exhaust-steam turbine,f,
abdanken,to resign,v,
abdankend,"abdicating, resigning",adj,
Abdankung,resignation,f,
Abdankung,dismissal,f,obsolete] 
Abdankung,memorial service,f,"Swiss, otherwise regional] "
abdecken,to cover,v,
abdecken,to cover costs,v,
abdecken,"to uncover, untile",v,
Abdecker,knacker (one who deals with animal cadavers),m,
Abdeckplatte,panel,f,
Abdeckung,"cover, covering",f,
Abdeckung,coverage,f,
abderitisch,abderitic,adj,
Abdestillation,fractional distillation,f,chemistry] 
abdestillieren,To distil off (remove by distillation),v,
abdestilliert,past participle of abdestillieren,v,
abdichten,to seal (prevent leakage),v,
Abdikation,abdication,f,
abdikativ,abdicative,adj,
abdingbar,"amendable, cancellable",adj,
abdirigieren,To direct away,v,
Abdomen,abdomen,n,"anatomy, rare] "
abdominal,abdominal,adj,
abdominell,abdominal,adj,
abdrängen,to push away,vt,
abdrehen,to turn,vi,
abdrehen,to veer,vi,nautical] 
abdrehen,to peel off,vi,aviation] 
abdreschen,to thresh,vt,
abdriften,to drift off course,vi,
abdringen,"to obtain by force [e.g. land, money, promises]",v,dated] 
Abdruck,"imprint, impression (the mark left behind by pressing on or printing something); print (of e.g. a finger)",m,
abdrücken,"to fire, to shoot (a weapon etc.); to pull the trigger",v,
abdrücken,to pressure-test,v,technology] 
Abduktion,abduction (physiology: movement separating limb from axis),f,
Abduktion,Abductive reasoning,f,
Abduktor,abductor (muscle),m,
Abece,ABC,n,
Abecedarium,abecedarium,n,
Abeillekolibri,"The emerald-chinned hummingbird, Abeillia abeillei",m,
abeisen,to defrost,v,Austria] 
-abel,"-able, -ible",suffix,
Abend,"evening; the time from dusk onwards (unlike in English, now generally including the first hours of the night, until midnight)",m,
Abend,The west,m,archaic] 
Abendappell,Evening roll call,m,
Abendblatt,evening paper,n,
Abendbrot,"supper, dinner (evening meal), typically consisting of bread, sliced meat, cheese, and pickles",n,
Abenddämmerung,dusk (a period of time occurring at the end of the day during which the sun sets),f,
abendessen,"to sup, to have supper (the evening meal)",v,"southern Germany, Austria] "
Abendessen,"dinner, supper (the evening meal)",n,
abendfüllend,all-night,adj,
Abendgebet,evening prayer,n,
Abendkasse,ticket office (office where tickets may be purchased immediately before the performance),f,
Abendkleid,evening dress,n,
Abendkleidchen,diminutive of Abendkleid,n,
Abendland,The Western world; Christendom,n,
abendländisch,occidental,adj,
abendlich,evening,adj,
Abendlied,evening song,n,
Abendmahl,Last Supper (Biblical event),n,Christianity] 
Abendmahl,Communion; Eucharist (sacrament),n,Protestantism] 
Abendmahl,supper; evening meal,n,"southern Germany, Austria, otherwise archaic, literary] "
Abendmahlsfeier,a mass on Maundy Thursday in remembrance of the biblical Last Supper,f,Roman Catholicism] 
Abendmahlsfeier,Communion; Eucharist (sacrament),f,Protestantism] 
Abendmahlzeit,evening meal,f,
Abendrot,Red color of the (western) sky around the time of sunset,n,
Abendroth,surname,prop,
abends,"in the evening, at night, see Abend;",adv,
abends,"p.m., indicating that a time is in the evening or early night. a.m./p.m. have no direct equivalents in German; the appropriate time of day is used instead",adv,
Abendschule,night school,f,
Abendsonne,"evening sun, setting sun",f,
Abendstern,Evening star; the planet Venus as seen in the western sky in the evening,m,astronomy] 
Abendstern,"Evening star; any star (or planet, anciently thought to be a star) seen in the evening, especially the planets Mercury and Jupiter",m,astronomy] 
abendwärts,westwards,adv,archaic] 
Abendwind,evening wind,m,
Abendwind,"west wind, zephyr",m,
Abenteuer,adventure,n,
abenteuerdurstig,adventurous,adj,
Abenteuerfilm,adventure film,m,
abenteuerhungrig,adventurous,adj,
Abenteuerin,"An adventuress, female adventurer",f,
abenteuerlich,adventurous,adj,related to adventures] 
Abenteuerlichkeit,adventurousness,f,
abenteuerlichsten,superlative of abenteuerlich,adj,
abenteuerlustig,adventurous,adj,inclined to adventure] 
abenteuerlustiger,comparative of abenteuerlustig,adj,
abenteuerlustigsten,superlative of abenteuerlustig,adj,
Abenteuerspielplatz,adventure playground,m,leisure time] 
abenteuersüchtig,adventurous,adj,
Abenteurer,adventurer,m,
Abenteurerin,"An adventuress, female adventurer",f,
aber,but; however; though,conj,
aber,again,adv,"obsolete, except in compounds] "
aber,"rather; quite; unusually; used with adjectives to express a surprising degree, whether this surprise be real or for effect",adv,qualifier] 
aber,"nonetheless, nevertheless",adv,
Aber,an objection,n,
Aberglaube,superstition,m,
Aberglauben,superstition,m,
abergläubig,alternative form of abergläubisch,adj,
abergläubisch,superstitious,adj,
abergläubischer,comparative of abergläubisch,adj,
abergläubischsten,superlative of abergläubisch,adj,
aberhundert,hundredfold,adj,
aberkennen,"to revoke [e.g. a right, a title, an award]",v,
abermalig,repeated,adj,
abermals,anew,adv,
aberrant,aberrant,adj,
aberranter,comparative of aberrant,adj,
aberrantesten,superlative of aberrant,adj,
Aberration,aberration (deviation),f,
Aberration,aberration,f,optics] 
Aberration,aberration,f,physiology] 
abertausend,thousandfold,adj,
aberwitzig,ludicrous,adj,
aberwitzig,ludicrously,adv,
aberwitziger,comparative of aberwitzig,adj,
aberwitzigsten,superlative of aberwitzig,adj,
Abessinien,Abyssinia (the historical name of Ethiopia),prop} {n,
Abessinien,"a nude beach, a nudist beach",n,"dated, slang] "
abessinisch,Abyssinian,adj,
Abessiv,abessive,m,grammar] 
abfackeln,to burn off,v,
abfahrbereit,ready to leave / depart,adj,
abfahren,"to depart, to leave",v,
abfahren,to be crazy about something,v,"idiomatic, colloquial] "
Abfahrt,departure,f,
Abfahrt,downhill,f,sports] 
Abfahrt,slip road,f,
abfahrtbereit,synonym of abfahrbereit,adj,
Abfahrthalle,alternative form of Abfahrtshalle (departure room of a train station),f,rare] 
Abfahrtshalle,departure room of a train station,f,
Abfahrtsliste,sailing list,f,
Abfahrtszeit,"time of departure, departure time (of train, bus, ship etc.)",f,
Abfall,"waste, garbage, rubbish, litter",m,
Abfall,"decrease, decline, drop",m,
Abfall,apostasy,m,religion] 
Abfall,"shutter, lid",m,obsolete] 
Abfallbehälter,"waste receptacle, garbage can, refuse container",m,
Abfalleimer,"rubbish bin; dustbin; trash can (small container for wet rubbish, either indoors or a fixed one outdoors)",m,
abfallen,"to fall off, to drop off",v,
abfallen,to apostatize,v,religion] 
abfallen,to secede,v,
abfällig,"derogatory, disparaging",adj,
abfällig,"disparagingly, pejoratively",adv,
Abfallkorb,"garbage can, recycle bin",m,
Abfallprodukt,waste product,n,
Abfallstoff,waste product,m,
Abfalltonne,"garbage can, recycle bin",f,
abfangen,to intercept,v,
abfangen,to pull up,v,
abfangen,to pull an aircraft out of a dive,v,
abfärben,to bleed,vi,of inks or dyes] 
abfärben,to rub off [+ auf (object) = jemanden = on],vi,idiomatic] 
abfassen,to write down,v,
abfassen,to arrest,v,cant] 
Abfassung,drafting,f,
abfedern,to cushion (a blow),v,
abfertigen,To make ready for dispatch,v,
Abfertigung,act of finishing,f,
Abfertigung,dispatch,f,
Abfertigung,clearance,f,
Abfertigung,expedition,f,
Abfertigung,smart rejoinder,f,
Abfertigung,"reproof, snub",f,
Abfertigung,dismissal,f,
Abfertigung,"settlement, compensation",f,Austria] 
Abfertigungsgebäude,terminal building,n,aviation] 
Abfertigungsschalter,dispatch counter,m,
Abfertigungsschalter,check in counter,m,aviation] 
abfeuern,"to fire off, to fire (a weapon)",v,
Abfeuerung,"discharge, firing (as of a gun)",f,
abfiltern,To filter off (remove by filtration),v,
abfiltriert,past participle of abfiltrieren - filtered off/out,v,
abfinden,to pay compensation,vt,
abfinden,"to come to terms, to face",vr,+ mit] 
Abfindung,"settlement, compensation",f,money] 
abflachen,to flatten,vt,
abflachen,to flatten (sich abflachen),v,reflective] 
abflaken,To shoot down with antiaircraft fire,v,
abflauen,"to calm down, abate",v,
abfliegen,"to take off (from the ground), to fly away",v,aviation] 
abfliegen,to depart,v,
abfliegen,to migrate,v,of birds] 
abfliegen,"to fly over, overfly",vt,
abfliessen,alternative spelling of abfließen,v,
abfließen,to drain,v,
Abflug,take-off,m,aviation] 
Abflug,departure,m,aviation] 
Abflugzeit,time of departure [of a plane],f,
Abfluss,"drain; plughole [especially in the bathroom, also toilet]",m,
Abfluss,outlet,m,
Abfluß,alternative spelling of Abfluss,m,
Abflussleitung,drainpipe,f,technology] 
Abflußleitung,alternative spelling of Abflussleitung,f,
abflusslos,undrained (having no discharge),adj,
Abfolge,succession (sequence arranged in order),f,
Abfrage,query,f,
abfragen,"to query, question",v,
abfräsen,"to chamfer, to bevel",v,
Abfuhr,removal,f,
Abfuhr,rebuff,f,
abführen,to take away [someone in police custody],vt,
abführen,to regularly pay,vt,
abführen,to evacuate [the bowel],vi,
Abführmittel,laxative (substance with a laxative effect),n,
abfüllen,to fill up,v,
abfüllen,"to bottle, to bag [something into containers]",v,
abfüllen,to get drunk,v,colloquial] 
Abgabe,"tax, duty",f,
Abgabe,"delivery, contribution",f,
Abgabeleistung,delivery power,f,electricity] 
abgabenfrei,"duty-free, tax-free",adj,
Abgang,exit,m,
Abgang,departure,m,
Abgang,sale,m,
Abgänger,graduate,m,
abgängig,missing (especially of people),adj,
Abgas,"emission, exhaust, exhaust gas, waste gas, exhaust fumes, offgas",n,
Abgaskatalysator,catalytic converter (in a vehicle),m,
Abgasklappe,exhaust door,f,technology] 
Abgassonderuntersuchung,exhaust emission test,f,historical] 
Abgasstrom,exhaust stream,m,
Abgastemperatur,exhaust gas temperature,f,
Abgasturbine,exhaust gas turbine,f,
abgebaut,"degraded, decomposed, dismantled",adj,
abgebaut,mined,adj,
abgeben,to hand in,v,
abgeben,to deliver,v,
abgeben,to deposit,v,
abgeben,to give away,v,
abgeben,to sell,v,
abgeben,to hand over,v,
abgeben,to pass on,v,
abgeben,to concede,v,
abgeben,"to emit, give off",v,
abgeben,to pass a ball,vt,sports] 
abgeben,(shoot) to fire,v,
abgeben,(declaration) to give,v,
abgeben,(vote) to cast,v,
abgeben,"(stuff, plot, background, frame) to provide",v,
abgeben,(to act like someone) to make,v,
abgeben,to pass,vi,sports] 
abgeben,"to bother oneself with somebody/something, to associate with somebody/something, to mess around with somebody",vr,
abgebildet,"depicted, pictured",adj,
abgebildet,mapped,adj,
abgeblasen,past participle of abblasen,v,
abgebrannt,destitute,adj,
abgebrannt,"broke, bankrupt",adj,
abgebremst,"past participle of abbremsen - slowed down, decelerated",v,
abgebröckelt,past participle of abbröckeln,v,
abgebrüht,"callous and cunning; experienced in “the game”, in immoral behaviour",adj,"chiefly derogatory, sometimes commendatory] "
abgebügelt,past participle of abbügeln,v,
abgedichtet,past participle of abdichten,v,
abgedroschen,past participle of abdreschen,v,
abgedroschen,"hackneyed, trite, corny, worn out",adj,
abgefahren,"just left, recently departed",adj,not comparable] 
abgefahren,"outstanding, great, cool",adj,idiomatic] 
abgefahrener,comparative of abgefahren,adj,
abgefahrensten,superlative of abgefahren,adj,
abgefasst,past participle of abfassen,v,
abgefeimt,"wicked, malevolent",adj,
abgefertigt,past participle of abfertigen,v,
abgefiltert,past participle of abfiltern,v,
abgeflacht,flattened,adj,
abgeflacht,levelled,adj,
abgeflacht,oblate,adj,
abgeflakt,past participle of abflaken,v,
abgefuckt,fucked-up,adj,slang] 
abgeführt,past participle of abführen,v,
abgeführt,discharged,adj,
abgefüllt,past participle of abfüllen,v,
abgefüllt,bottled,adj,
abgefüllt,filled (up),adj,
abgegeben,delivered,adj,
abgegeben,submitted,adj,
abgegossen,past participle of abgießen,v,
abgegossen,decanted,adj,
abgegrenzt,"demarcated, delimited, separate",adj,
abgehackt,"chopped off, hacked off",adj,
abgehackt,"choppy [way of moving, etc]",adj,
abgehackt,"clipped [way of speaking, screaming, etc]",adj,
abgehalftert,"abandoned, neglected",adj,
abgehalten,past participle of abhalten,v,
abgehärtet,"hardened, hardy",adj,
abgehärteter,comparative of abgehärtet,adj,
abgehauen,past participle of abhauen,v,
abgehen,"to come off, come loose",vi,
abgehen,"to set off, set out",vi,
abgehört,past participle of abhören,v,
abgejagt,past participle of abjagen,v,
abgekämmt,past participle of abkämmen,v,
abgekämpft,weary,adj,
abgekämpft,"exhausted, worn-out",adj,
abgekartet,"put-up, collusive",adj,
abgeklärt,past participle of abklären,v,
abgeklärt,prudent,adj,
abgeklärt,clarified,adj,
abgeklärt,mellow,adj,
abgeknickt,past participle of abknicken,v,
abgekühlt,"cooled, chilled",adj,
abgekühlt,abgekühlte Luft,adj,
abgekühlt,slowed down,adj,
abgekühlt,eine abgekühlte Konjunktur,adj,
abgeladen,past participle of abladen,v,
abgelagert,past participle of ablagern,v,
abgelaufen,"expired, lapsed, out of date",adj,
abgelebt,past participle of ableben,v,
abgelegen,remote (distant or otherwise inaccessible),adj,
abgelegener,comparative of abgelegen,adj,
abgelegensten,superlative of abgelegen,adj,
abgelegt,past participle of ablegen,v,
abgelehnt,"rejected, declined",adj,
abgelehnt,opposed,adj,
abgeleitet,derived,adj,
abgeleitet,derivative,adj,
abgelesen,past participle of ablesen,v,
abgelöst,past participle of ablösen,v,
abgelöst,detached,adj,
abgelöst,replaced,adj,
abgelöst,ousted,adj,
abgemacht,agreed,adj,
abgemacht,settled,adj,
abgemeiert,past participle of abmeiern,v,
abgeneigt,"averse, loath",adj,
abgeneigt,opposed,adj,
abgenutzt,past participle of abnutzen,v,
abgenutzt,"worn, shabby",adj,
abgenutzt,worn out,adj,
Abgeordnete,female Member of Parliament,f,
Abgeordnetenhaus,house of representatives / deputies (in parliament),n,
Abgeordneter,"delegate, assemblyman, representative, Member of Parliament",m,
abgepackt,past participle of abpacken,v,
abgepackt,"packed, packaged",adj,
abgeraten,past participle of abraten,v,
abgeraten,discouraged,adj,
abgeraten,dissuaded,adj,
abgerechnet,past participle of abrechnen,v,
abgereichert,past participle of abreichern,v,
abgerissen,"ragged, tattered",adj,
abgerissen,seedy,adj,
abgerufen,"past participle of abrufen - accessed, retrieved, fetched",v,
abgesagt,past participle of absagen,v,
abgesagt,"postponed; called off, cancelled",adj,
Abgesandte,emissary (female),f,
Abgesandter,emissary (male or of unspecified sex),m,
abgesättigt,past participle of absättigen,v,
abgesaugt,past participle of absaugen - sucked off,v,
abgeschabt,past participle of abschaben,v,
abgeschabt,"shabby, threadbare",adj,
abgeschafft,past participle of abschaffen,v,
abgeschieden,secluded,adj,
Abgeschiedenheit,seclusion,f,
abgeschlagen,past participle of abschlagen,v,
abgeschlagen,"severed, cut off",adj,
abgeschlagen,"repulsed, beaten",adj,
abgeschlossen,"separate, enclosed",adj,
abgeschlossen,secluded,adj,
